,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,57,25,8,4,45,-2248,0,0,883,30.722,
0,0,58,26,8,4,9,-2021,0,0,884,30.778,
0,0,59,26,7,4,53,-1957,0,0,885,30.838,
0,0,59,26,7,4,169,-2116,0,0,886,30.898000000000003,
0,0,59,26,7,4,169,-2181,0,0,887,30.966,
0,0,60,27,7,3,0,-1902,0,0,888,31.026000000000003,
0,0,62,27,7,3,0,-1879,0,0,889,31.093000000000004,
0,0,61,26,7,4,53,-1918,0,0,890,31.175000000000004,
0,0,60,26,7,4,11,-2037,0,0,891,31.255000000000003,
0,0,59,26,8,4,11,-2017,0,0,892,31.328000000000003,
0,0,59,26,7,3,0,-2046,0,0,893,31.403,
0,0,61,26,7,3,162,-1759,0,0,894,31.46,
0,0,62,26,8,2,173,-1847,0,0,895,31.567,
0,0,65,25,8,3,171,-1655,0,0,896,31.624000000000002,
0,0,67,25,7,3,0,-1755,0,0,897,31.683,
0,0,70,26,7,4,53,-1760,0,0,898,31.741,
0,0,72,26,7,4,45,-1668,0,0,899,31.802,
0,0,73,26,7,4,0,-1974,0,0,900,31.857,
0,0,75,26,7,4,171,-1873,0,0,901,31.914,
0,0,76,25,8,3,9,-1881,0,0,902,31.989000000000004,
0,0,78,24,7,4,135,-1656,0,0,903,32.049,
0,0,80,22,7,4,121,-1675,0,0,904,32.125,
0,0,83,20,7,4,172,-1703,0,0,905,32.205,
0,0,85,21,6,4,158,-1745,0,0,906,32.282000000000004,
0,0,86,22,4,2,27,-1750,0,0,907,32.355000000000004,
0,0,86,22,4,2,27,-1750,1,0,908,32.419000000000004,
0,0,86,22,4,2,27,-1750,1,0,909,32.483000000000004,
0,0,86,22,4,2,27,-1750,1,0,910,32.599000000000004,
0,0,86,22,4,2,27,-1750,1,0,911,32.666000000000004,
0,0,86,22,4,2,27,-1750,1,0,912,32.732,
0,0,100,25,3,2,18,-1087,0,0,913,32.800000000000004,
0,0,102,24,5,4,14,-1726,0,0,914,32.882000000000005,
0,0,106,24,6,3,169,-1633,0,0,915,32.946000000000005,
0,0,110,24,8,3,171,-1549,0,0,916,33.017,
0,0,115,25,7,4,8,-1430,0,0,917,33.085,
0,0,120,26,6,4,169,-1512,0,0,918,33.199000000000005,
